first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Melisses,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/melisses.jpg
","https://open.spotify.com/artist/2ra3quFhImLyv0c9XTnWFl
","https://www.youtube.com/@melissestheband
",,singer,
Melina,Merkouri,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/merkouri.jpg,,,,actor,
Dimitris,Mitropanos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mitropanos.jpg
","https://open.spotify.com/artist/3xqrfI4xL7FnBawAoiOTxe
","https://www.youtube.com/channel/UC2WFH_KzuB5Gd7Jgrfq8zow
",,singer,
Manolis,Mitsias,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mitsias.jpg
","https://open.spotify.com/artist/0iPmB3x32r1vp0nL4gsjMo?autoplay=true
","https://open.spotify.com/artist/0iPmB3x32r1vp0nL4gsjMo?autoplay=true
",,singer,
Viki,Mosholiou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mosholiou.jpg
","https://open.spotify.com/artist/6X3GXU22qFQc0cbevQ03Cm
","https://www.youtube.com/channel/UC7dD6UEeBAP-mKUfYSDJxxg
",,singer,
Panos,Mouzourakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/mouzourakis.jpg
","https://open.spotify.com/artist/7byYRTzcmi0J2EnoVgvNyt
","https://www.youtube.com/@PanosMouzourakis
",,singer,
Nikos,Oikonomopoulos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/oikonomopoulos.jpg
","https://open.spotify.com/artist/1MicVtcHS3vuNVCrd1un7s
","https://www.youtube.com/@Nikos_Oikonomopoulos
",,singer,
Pavlos,Orkopoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/orkopoulos.jpg,,,,actor,
Anna,Panagiotopoulou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/panagiotopoulou.jpg,,,,actor,
Lefteris,Pantazis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/pantazis.jpg
","https://open.spotify.com/artist/5ZCCZxsnf0NCy3LBpPtH9Q
","https://www.youtube.com/channel/UCt7kbHCaZS3fyKeAcURKzkA
",,singer,
Dionisys,Papagiannopoulos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papagiannopoulos.jpg,,,,actor,
Christoforos,Papakaliatis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papakaliatis.jpg,,,,actor,
Vassilis,Papakonstantinou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papakonstantinou-vassilis.jpg
","https://open.spotify.com/artist/6QO0eQd1MX0UrX582zWYcN
","https://www.youtube.com/@Vasilis_Papakonstantinou
",,singer,
Mirka,Papakonstantinou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papakonstantinou.jpg,,,,actor,
Dimitris,Papamichael,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papamichael.jpg,,,,actor,
